iso_code,location,date,new_deaths_smoothed_per_million,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,death_days,vaccination_rate2,location2,year,month,day
"OWID_WRL","World","2022-04-23",.361,7874965730,3873.69,23938800,0.3,65.1,1.17e+09,687,1955586,65.08,"The World","2022","April","23"
"OWID_AFR","Africa","2022-04-23",.031,1373486472,51063.09,3453067,0.3,21.2,8.07e+08,3272,139278,21.25,"Africa","2022","April","23"
"OWID_ASI","Asia","2022-04-23",.118,4678444992,12557.5,14731874,0.3,74.8,2.43e+08,231,127274,74.82,"Asia","2022","April","23"
"OWID_EUR","Europe","2022-04-23",2.08,748962983,245.1887,3425888,0.5,68.3,8.75e+07,357,557035,68.32,"Europe","2022","April","23"
"OWID_EUN","European Union","2022-04-23",2.334,447189915,146.7662,2811395,0.6,75.3,2.12e+07,106,110288,75.25,"The European Union","2022","April","23"
"OWID_HIC","High income","2022-04-23",1.687,1214930230,680.1019,2292481,0.2,79.4,7313211,45,91517,79.40,"High income","2022","April","23"
"OWID_LIC","Low income","2022-04-18",.005,665149040,322567.9,3212330,0.5,15.2,4.31e+08,1877,5901,15.23,"Low income","2022","April","18"
"OWID_LMC","Lower middle income","2022-04-23",.056,3330652550,24856.65,11698297,0.4,60.3,6.58e+08,787,145574,60.26,"Lower middle income","2022","April","23"
"OWID_NAM","North America","2022-04-23",.832,596581283,1560.602,1409311,0.2,71.8,4.88e+07,485,240384,71.82,"North America","2022","April","23"
"OWID_OCE","Oceania","2022-04-22",1.041,43219954,968.1556,78402,0.2,66.4,5873302,1049,47195,66.41,"Oceania","2022","April","22"
"OWID_SAM","South America","2022-04-23",.358,434260137,4625.617,842224,0.2,83.9,-1.69e+07,-280,-43586,83.88,"South America","2022","April","23"
"OWID_UMC","Upper middle income","2022-04-23",.243,2513672790,6590.938,8280285,0.3,81.6,-4.13e+07,-70,-42538,81.64,"Upper middle income","2022","April","23"
"AFG","Afghanistan","2022-02-07",.1,39835428,3280.5,84112,0.2,11.6,2.72e+07,4533,18132,11.63,"Afghanistan","2022","February","07"
"ALB","Albania","2022-03-24",.099,2872934,6367.133,6216,0.2,44.5,1019445,2296,656,44.52,"Albania","2022","March","24"
"DZA","Algeria","2021-11-30",.131,44616626,5994.537,987280,2.2,15.4,2.88e+07,409,2394,15.41,"Algeria","2021","November","30"
"ATG","Antigua and Barbuda","2022-03-14",0,98728,27,1708,1.7,64.7,15146.4,124,0,64.66,"Antigua and Barbuda","2022","March","14"
"ARG","Argentina","2022-04-23",0,45605823,62406,26336,0.1,89.9,-4520660,-2403,0,89.91,"Argentina","2022","April","23"
"ABW","Aruba","2022-04-20",78.628,107195,2.610037,364,0.3,82.3,-2460.001,-95,-797,82.29,"Aruba","2022","April","20"
"AUS","Australia","2022-04-22",1.235,25788217,686.1286,31111,0.1,86.3,-1635688,-736,-23449,86.34,"Australia","2022","April","22"
"AZE","Azerbaijan","2022-04-23",.028,10223344,17625.87,7034,0.1,52.2,2841491,5656,1616,52.21,"Azerbaijan","2022","April","23"
"BHS","Bahamas","2022-01-05",1.44,396914,1082.312,18648,4.7,39.8,159411.2,120,68,39.84,"Bahamas","2022","January","05"
"BHR","Bahrain","2022-02-09",.735,1748295,1518.662,7328,0.4,70.2,171331,327,421,70.20,"Bahrain","2022","February","09"
"BGD","Bangladesh","2022-04-20",.003,166303494,498393.9,426510,0.3,77.4,4382355,144,62,77.36,"Bangladesh","2022","April","20"
"BRB","Barbados","2022-04-22",3.476,287708,45,347,0.1,56.2,68532.4,2763,2763,56.18,"Barbados","2022","April","22"
"BEL","Belgium","2022-04-19",2.247,11632334,49.30574,1613,0.0,79.4,70820.09,615,16070,79.39,"Belgium","2022","April","19"
"BLZ","Belize","2021-10-06",5.998,404915,1363.524,21999,5.4,49.4,124000,79,192,49.38,"Belize","2021","October","06"
"BTN","Bhutan","2021-05-27",0,779900,58,887,0.1,61.9,141204,2228,0,61.89,"Bhutan","2021","May","27"
"BOL","Bolivia","2022-04-11",.036,11832936,15051.28,32235,0.3,60.1,2360278,1025,439,60.05,"Bolivia","2022","April","11"
"BIH","Bosnia and Herzegovina","2021-08-18",1.051,3263459,2617.09,529130,16.2,17.4,2043569,54,185,17.38,"Bosnia and Herzegovina","2021","August","18"
"BWA","Botswana","2021-07-23",6.019,2397240,203.8256,110040,4.6,8.8,1707902,217,3135,8.76,"Botswana","2021","July","23"
"BRA","Brazil","2022-04-23",.447,213993441,4149.477,930372,0.4,85.2,-1.12e+07,-169,-16133,85.23,"Brazil","2022","April","23"
"BRN","Brunei","2021-12-14",0,441532,4049,1687,0.4,91.7,-51866.42,-430,0,91.75,"Brunei","2021","December","14"
"BGR","Bulgaria","2021-08-17",2.216,6896655,576.2135,51329,0.7,15.8,4428258,1208,18462,15.79,"Bulgaria","2021","August","17"
"BDI","Burundi","2021-12-09",0,12255429,103,658,0.0,0.0,9802084,208555,0,0.02,"Burundi","2021","December","09"
"KHM","Cambodia","2022-04-20",.008,16946446,156517.5,29412,0.2,87.7,-1311495,-624,-89,87.74,"Cambodia","2022","April","20"
"CMR","Cameroon","2021-11-24",.11,27224262,15756.33,116984,0.4,2.8,2.10e+07,2516,7549,2.77,"Cameroon","2021","November","24"
"CAN","Canada","2022-04-19",2.015,38067913,772.0886,557190,1.5,87.6,-2894756,-73,-6510,87.60,"Canada","2022","April","19"
"CPV","Cape Verde","2021-07-26",.763,561901,8813.52,52766,9.4,25.1,308244.8,82,35,25.14,"Cape Verde","2021","July","26"
"CYM","Cayman Islands","2021-09-29",0,66498,137,2436,3.7,82.9,-1930.598,-11,0,82.90,"Cayman Islands","2021","September","29"
"CAF","Central African Republic","2021-06-15",0,4919987,2300,180418,3.7,0.9,3893346,302,0,0.87,"Central African Republic","2021","June","15"
"CHL","Chile","2022-04-22",1.086,19212362,1592.559,14522,0.1,93.2,-2536973,-2446,-51012,93.20,"Chile","2022","April","22"
"CHN","China","2022-03-31",0,1444216102,3896429,4774000,0.3,88.5,-1.22e+08,-359,0,88.47,"China","2022","March","31"
"COL","Colombia","2022-04-19",.07,51265841,11900.87,151704,0.3,82.2,-1151288,-106,-379,82.25,"Colombia","2022","April","19"
"COG","Congo","2021-06-23",.101,5657017,9845.885,20804,0.4,1.8,4422972,2976,1701,1.81,"Congo","2021","June","23"
"CIV","Cote d'Ivoire","2021-08-11",.069,27053629,6368.336,221938,0.8,4.4,2.05e+07,1291,2397,4.37,"Cote d'Ivoire","2021","August","11"
"HRV","Croatia","2022-04-22",1.82,4081657,65.82313,954,0.0,56.7,952636.6,13987,103900,56.66,"Croatia","2022","April","22"
"CUB","Cuba","2022-04-21",.038,11317498,20370.63,8636,0.1,94.1,-1597030,-2589,-1110,94.11,"Cuba","2022","April","21"
"CUW","Curacao","2022-04-22",0,164796,183,264,0.2,65.4,24027.8,1274,0,65.42,"Curacao","2022","April","22"
"CYP","Cyprus","2022-02-26",6.537,896005,193.4437,1946,0.2,76.8,28877.98,208,1217,76.78,"Cyprus","2022","February","26"
"CZE","Czechia","2022-04-23",1.345,10724553,157.6686,1986,0.0,64.9,1623262,11443,165105,64.86,"Czechia","2022","April","23"
"COD","Democratic Republic of Congo","2022-01-05",.031,92377986,346.1673,432306,0.5,0.3,7.36e+07,2385,6813,0.29,"Democratic Republic of Congo","2022","January","05"
"DNK","Denmark","2022-04-21",2.113,5813302,35.89451,635,0.0,83.2,-187443.6,-4133,-50772,83.22,"Denmark","2022","April","21"
"DOM","Dominican Republic","2022-04-22",.013,10953714,17097.9,10243,0.1,65.8,1558890,2131,304,65.77,"The Dominican Republic","2022","April","22"
"ECU","Ecuador","2022-04-18",.16,17888474,8033.951,30550,0.2,84.3,-776153.4,-356,-1016,84.34,"Ecuador","2022","April","18"
"EGY","Egypt","2021-12-11",.456,104258327,9831.62,6852034,6.6,28.3,5.39e+07,110,5237,28.32,"Egypt","2021","December","11"
"SLV","El Salvador","2022-04-04",.066,6518500,22009.32,26572,0.4,70.4,627264.9,330,142,70.38,"El Salvador","2022","April","04"
"GNQ","Equatorial Guinea","2021-11-10",.099,1449891,5279.72,2226,0.2,16.9,915326.8,5757,822,16.87,"Equatorial Guinea","2021","November","10"
"EST","Estonia","2022-04-22",2.479,1325188,103.1649,649,0.0,64.9,199869.4,4312,14166,64.92,"Estonia","2022","April","22"
"SWZ","Eswatini","2021-10-24",.975,1172369,359.58,75488,6.4,20.5,698020.2,129,148,20.46,"Eswatini","2021","October","24"
"ETH","Ethiopia","2022-03-18",.005,117876226,296891.4,2193338,1.9,20.7,6.99e+07,446,255,20.71,"Ethiopia","2022","March","18"
"FRO","Faeroe Islands","2022-02-18",5.825,49053,90.90909,14,0.0,85.0,-2472.602,-2473,-706,85.04,"Faeroe Islands","2022","February","18"
"FJI","Fiji","2021-04-20",0,902899,7103,396130,43.9,6.2,666319.2,24,0,6.20,"Fiji","2021","April","20"
"FIN","Finland","2022-03-16",4.892,5548361,670.7438,3416,0.1,81.1,-60931.25,-250,-6778,81.10,"Finland","2022","March","16"
"FRA","France","2022-04-21",1.884,67422000,228.1575,13602,0.0,80.2,-104793.9,-108,-13698,80.16,"France","2022","April","21"
"PYF","French Polynesia","2021-03-09",.506,282534,2314.685,2478,0.9,2.8,218009.2,1232,176,2.84,"French Polynesia","2021","March","09"
"GAB","Gabon","2021-06-23",.125,2278829,5006.993,15792,0.7,1.7,1785175,1583,452,1.66,"Gabon","2021","June","23"
"GMB","Gambia","2021-09-07",.517,2486937,506.2208,3640,0.1,7.2,1809640,6960,8949,7.23,"Gambia","2021","September","07"
"GEO","Georgia","2022-04-21",.395,3979773,530.2355,10274,0.3,40.6,1569291,2138,3360,40.57,"Georgia","2022","April","21"
"DEU","Germany","2022-04-22",2.088,83900471,89.56681,24862,0.0,76.0,3381676,1904,333516,75.97,"Germany","2022","April","22"
