iso_code,location,date,new_deaths_smoothed_per_million,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,death_days,vaccination_rate2,location2,year,month,day
"OWID_WRL","World","2021-10-22",.887,7874965730,3421.11,325856896,4.1,54.1,5.78e+09,249,1735519,86.55,"The World","2021","October","22"
"OWID_AFR","Africa","2021-10-22",.156,1373486472,6692.824,18508296,1.3,8.3,2.02e+09,1524,327289,13.28,"Africa","2021","October","22"
"OWID_ASI","Asia","2021-10-22",.303,4678444992,12117.94,229429504,4.9,61.5,2.88e+09,176,249026,98.38,"Asia","2021","October","22"
"OWID_EUR","Europe","2021-10-22",3.537,748962983,597.3149,20433876,2.7,69.6,3.64e+08,249,660156,111.44,"Europe","2021","October","22"
"OWID_EUN","European Union","2021-10-22",2.035,447189915,726.722,10324417,2.3,81.7,1.31e+08,178,161947,130.66,"The European Union","2021","October","22"
"OWID_NAM","North America","2021-10-22",3.677,596581283,808.1906,25778926,4.3,69.4,2.92e+08,159,348199,111.01,"North America","2021","October","22"
"OWID_OCE","Oceania","2021-10-22",.595,43219954,12352.57,4796514,11.1,62.4,2.60e+07,76,1950,99.88,"Oceania","2021","October","22"
"OWID_SAM","South America","2021-10-22",1.115,434260137,3356.395,26909754,6.2,70.5,2.05e+08,107,51577,112.85,"South America","2021","October","22"
"AFG","Afghanistan","2021-06-14",1.524,39835428,53.89202,56210,0.1,1.0,6.31e+07,15710,953807,1.66,"Afghanistan","2021","June","14"
"ALB","Albania","2021-10-18",2.586,2872934,747.3415,86140,3.0,40.1,2754034,448,3325,64.14,"Albania","2021","October","18"
"DZA","Algeria","2021-01-30",.086,44616626,7.778066,420,0.0,0.0,7.14e+07,2379552,9518209,0.00,"Algeria","2021","January","30"
"AND","Andorra","2021-04-19",3.694,77354,3671.329,27622,35.7,21.3,97352.4,49,14,34.15,"Andorra","2021","April","19"
"ATG","Antigua and Barbuda","2021-09-13",2.894,98728,1171.329,6048,6.1,50.6,78042.8,181,52,80.95,"Antigua and Barbuda","2021","September","13"
"ARG","Argentina","2021-10-22",.498,45605823,14001.06,4387679,9.6,78.6,1.56e+07,50,1133,125.71,"Argentina","2021","October","22"
"AUS","Australia","2021-10-22",.593,25788217,16333.77,3739832,14.5,82.5,7216966,27,413,132.01,"Australia","2021","October","22"
"AUT","Austria","2021-10-21",1.216,9043072,1763.545,271113,3.0,78.3,3145832,162,1787,125.21,"Austria","2021","October","21"
"AZE","Azerbaijan","2021-10-22",1.579,10223344,1612.464,380222,3.7,57.0,7036793,259,4183,91.17,"Azerbaijan","2021","October","22"
"BHS","Bahamas","2021-08-09",7.198,396914,149.1075,33278,8.4,17.4,524619.4,221,631,27.83,"Bahamas","2021","August","09"
"BHR","Bahrain","2021-10-22",.163,1748295,18597.9,87517,5.0,97.7,64271.07,10,3,156.32,"Bahrain","2021","October","22"
"BGD","Bangladesh","2021-10-21",.055,166303494,36244.23,8017823,4.8,22.0,2.08e+08,363,3315,35.14,"Bangladesh","2021","October","21"
"BRB","Barbados","2021-10-18",10.427,287708,376.3333,16048,5.6,57.3,196784.8,172,515,91.60,"Barbados","2021","October","18"
"BEL","Belgium","2021-10-21",1.265,11632334,384.5317,94147,0.8,90.2,1820058,271,3982,144.35,"Belgium","2021","October","21"
"BLZ","Belize","2021-10-06",5.998,404915,1363.524,74699,18.4,53.2,303401,57,138,85.07,"Belize","2021","October","06"
"BTN","Bhutan","2021-08-15",.183,779900,25370.63,5992,0.8,83.0,212330,496,71,132.77,"Bhutan","2021","August","15"
"BOL","Bolivia","2021-09-26",.495,11832936,5749.701,336924,2.8,35.1,1.23e+07,510,2989,56.21,"Bolivia","2021","September","26"
"BIH","Bosnia and Herzegovina","2021-08-18",1.051,3263459,2617.09,936376,28.7,17.8,4293409,64,220,28.44,"Bosnia and Herzegovina","2021","August","18"
"BWA","Botswana","2021-07-23",6.019,2397240,203.8256,146090,6.1,8.6,3504176,336,4845,13.82,"Botswana","2021","July","23"
"BRA","Brazil","2021-10-22",1.649,213993441,2699.53,28805310,13.5,76.8,7.93e+07,39,13599,122.94,"Brazil","2021","October","22"
"BRN","Brunei","2021-08-23",0,441532,6017,69776,15.8,37.8,439319.2,88,0,60.50,"Brunei","2021","August","23"
